Date,Away,Away_3rdQ,Away_Score,Home,Home_3rdQ,Home_Score
1125,New Orleans Pelicans,88,120,Phoenix Suns,85,114
1125,Utah Jazz,73,102,LA Clippers,68,91
1127,Milwaukee Bucks,65,90,Orlando Magic,86,114
1127,Cleveland Cavaliers,72,95,Charlotte Hornets,76,90
1127,Miami Heat,74,97,New York Knicks,63,78
1127,Washington Wizards,56,78,Boston Celtics,79,111
1127,Philadelphia 76ers,80,114,Houston Rockets,91,116
1127,Atlanta Hawks,85,116,Memphis Grizzlies,82,101
1127,Detroit Pistons,71,87,Oklahoma City Thunder,76,103
1127,Chicago Bulls,63,92,Indiana Pacers,72,104
1127,San Antonio Spurs,70,91,Denver Nuggets,59,80
1127,Golden State Warriors,103,135,Phoenix Suns,81,116
1127,Minnesota Timberwolves,75,101,Sacramento Kings,68,91
1127,New Orleans Pelicans,72,90,LA Clippers,90,111
1128,Toronto Raptors,62,84,Washington Wizards,68,82
1128,Brooklyn Nets,68,88,Cleveland Cavaliers,69,90
1128,Atlanta Hawks,59,88,San Antonio Spurs,80,108
1128,Denver Nuggets,57,81,Dallas Mavericks,73,92
1128,New Orleans Pelicans,60,87,Utah Jazz,76,101
1128,Los Angeles Lakers,76,96,Portland Trail Blazers,84,108
1128,Sacramento Kings,71,101,Golden State Warriors,92,120
1129,Milwaukee Bucks,59,82,Charlotte Hornets,65,87
1129,Minnesota Timberwolves,61,99,LA Clippers,71,107
1129,Phoenix Suns,81,107,Toronto Raptors,72,102
1129,Detroit Pistons,67,83,Brooklyn Nets,59,87
1129,Philadelphia 76ers,67,84,Memphis Grizzlies,64,92
1129,Boston Celtics,67,91,Orlando Magic,84,110
1129,Houston Rockets,69,116,New York Knicks,77,111
1129,Indiana Pacers,80,107,Los Angeles Lakers,65,103
1130,Boston Celtics,81,105,Miami Heat,75,95
1130,Houston Rockets,73,105,Detroit Pistons,84,116
1130,San Antonio Spurs,73,89,Chicago Bulls,70,92
1130,Denver Nuggets,60,74,Milwaukee Bucks,67,92
1130,Oklahoma City Thunder,74,100,Atlanta Hawks,79,106
1130,Golden State Warriors,83,106,Utah Jazz,77,103
1130,Dallas Mavericks,71,98,Sacramento Kings,76,112
1130,Portland Trail Blazers,64,87,LA Clippers,74,102
1201,Washington Wizards,80,97,Cleveland Cavaliers,67,85
1201,Los Angeles Lakers,75,91,Philadelphia 76ers,80,103
1201,Phoenix Suns,73,91,Brooklyn Nets,70,94
1201,Memphis Grizzlies,91,113,New Orleans Pelicans,85,104
1201,Orlando Magic,76,96,Minnesota Timberwolves,67,93
1201,Dallas Mavericks,74,115,Portland Trail Blazers,73,112
1202,Los Angeles Lakers,78,108,Washington Wizards,75,104
1202,Golden State Warriors,93,116,Charlotte Hornets,72,99
1202,Phoenix Suns,89,122,Detroit Pistons,80,127
1202,Philadelphia 76ers,58,87,New York Knicks,81,99
1202,Denver Nuggets,72,90,Chicago Bulls,68,99
1202,New Orleans Pelicans,82,101,Houston Rockets,84,108
1202,Toronto Raptors,57,96,Atlanta Hawks,66,86
1202,Milwaukee Bucks,55,70,San Antonio Spurs,76,95
1202,Indiana Pacers,72,103,LA Clippers,69,91
1203,Oklahoma City Thunder,76,95,Miami Heat,74,97
